scale,item_idx,source_id,gold_letter,n_options,condition,pred_letter,correct,answer_text,first_token_entropy_nats,per_token_entropy_mean_nats,perplexity_5tok,search_status,mean_search_reward,best_search_reward,mean_terminal_entropy_nats,best_path_json,n_paths_evaluated,n_apply_failures
1B,9,Mercury_SC_413631,A,4,E,A,1,A.,1.4924076795578003,1.4606759945551555,1.8360980780869955,ok,-0.1321335653813872,-0.12688617111310582,1.5541263951195612,"[0.5,1.0,1.0]",27,0
1B,10,MCAS_2005_5_10,B,4,G,A,0,A.,1.294858455657959,1.1792941093444824,1.506389019467697,n/a,,,,,,
1B,10,MCAS_2005_5_10,B,4,R,A,0,A. Rainfall increases,1.3502140045166016,0.8650487327948213,1.5289030726027955,ok,0.5367778396556828,0.9883459916074779,1.150171372625563,"[0.1,0.1,0.5]",27,0
1B,10,MCAS_2005_5_10,B,4,E,A,0,A. Rainfall increases,0.891173243522644,0.8853579189628362,1.5289030726027955,ok,-0.10373712381882479,-0.07610271771630944,1.2201335959964328,"[1.0,1.0,1.0]",27,0
1B,11,Mercury_7166145,B,4,G,A,0,A.,1.398552656173706,1.3658926685651143,1.8855487104046482,n/a,,,,,,
1B,11,Mercury_7166145,B,4,R,A,0,A,1.6959787607192993,1.536062240600586,3.1855715140795082,ok,0.4736898347008732,0.9926274203208725,1.6114834811952379,"[0.1,0.5,0.5]",27,0
1B,11,Mercury_7166145,B,4,E,A,0,A,1.3982784748077393,1.3497079014778137,3.1855715140795082,ok,-0.13680453619972466,-0.1188832007825084,1.6090653428324946,"[1.0,1.0,1.0]",27,0
1B,12,MSA_2013_5_6,B,4,G,A,0,A. B,1.1717915534973145,1.2879714332520962,1.912597042955063,n/a,,,,,,
1B,12,MSA_2013_5_6,B,4,R,A,0,A. electricity,0.7552987933158875,1.463987722992897,1.951481355752994,ok,0.49762309548940553,0.9670742979201319,0.8180791669421725,"[1.0,1.0,0.5]",27,0
1B,12,MSA_2013_5_6,B,4,E,A,0,A. electricity,0.7552987933158875,1.463987722992897,1.951481355752994,ok,-0.07221571535050847,-0.0642163486846962,0.8493856125407748,"[1.0,0.5,1.0]",27,0
1B,13,Mercury_SC_405199,B,4,G,A,0,A.,1.4290705919265747,1.344111442565918,1.619833310473975,n/a,,,,,,
1B,13,Mercury_SC_405199,B,4,R,A,0,A. planting trees,1.2520047426223755,1.3596960216760636,2.132097333519708,ok,0.5701773104136234,0.9751292934771418,1.2749955477537933,"[0.5,1.0,0.5]",27,0
1B,13,Mercury_SC_405199,B,4,E,A,0,A.,1.1272753477096558,1.4803820451100667,1.619833310473975,ok,-0.1126287759037621,-0.09584221162910032,1.3247152831819322,"[1.0,1.0,1.0]",27,0
1B,14,NYSEDREGENTS_2015_8_28,B,4,G,E,0,1. elements,2.1653449535369873,1.5577101856470108,2.0618057999048713,n/a,,,,,,
1B,14,NYSEDREGENTS_2015_8_28,B,4,R,,0,1. 2,2.140409469604492,1.7231937289237975,2.1284484129624923,ok,0.39539368544044,0.7551889853394994,2.1901224895759865,"[1.0,0.5,0.5]",27,0
1B,14,NYSEDREGENTS_2015_8_28,B,4,E,,0,1. 2,1.895983099937439,1.7237933158874512,2.1284484129624923,ok,-0.18725733420801507,-0.16119860500684416,2.2024802322740906,"[1.0,1.0,1.0]",27,0
1B,15,Mercury_SC_401777,B,4,G,B,1,B,1.435554027557373,1.0745653212070465,1.9969542034566017,n/a,,,,,,
1B,15,Mercury_SC_401777,B,4,R,A,0,A. folding,1.6105817556381226,1.081537052989006,1.759762194267747,ok,0.403274639824217,0.8323217740457756,1.5342962212032742,"[0.1,0.5,0.5]",27,0
1B,15,Mercury_SC_401777,B,4,E,A,0,A. folding,1.3366518020629883,1.0548494756221771,1.759762194267747,ok,-0.12605421817473725,-0.1132043172065971,1.4826224291766132,"[1.0,1.0,0.5]",27,0
1B,16,Mercury_7198188,B,4,G,A,0,A.,1.2741162776947021,1.1998565196990967,1.4955517694958331,n/a,,,,,,
1B,16,Mercury_7198188,B,4,R,A,0,A. B,1.223682165145874,1.6358156204223633,1.9167000704233679,ok,0.44355191495634644,0.9504258974579134,1.2939980780636822,"[0.1,1.0,1.0]",27,0
1B,16,Mercury_7198188,B,4,E,A,0,A.,1.1555640697479248,1.5883491436640422,1.4955517694958331,ok,-0.10960479363290421,-0.09824735043553051,1.2891478582664773,"[1.0,0.5,1.0]",27,0
1B,17,MCAS_1998_4_11,D,4,G,A,0,A.,1.3056092262268066,1.3388630549112956,1.630917379908383,n/a,,,,,,
1B,17,MCAS_1998_4_11,D,4,R,A,0,A. some of the,1.1602237224578857,0.8274390645325184,1.4783238248644186,ok,0.597952412324227,0.9827514456769876,1.1473105704342876,"[0.5,1.0,0.1]",27,0
1B,17,MCAS_1998_4_11,D,4,E,A,0,A.,1.0375481843948364,1.3592430353164673,1.630917379908383,ok,-0.09576230749474303,-0.08821350778778053,1.1263355325769495,"[1.0,0.5,1.0]",27,0
1B,18,Mercury_SC_LBS10784,B,4,G,A,0,A. B,1.3378865718841553,0.6852059802040458,1.3525620554496773,n/a,,,,,,
1B,18,Mercury_SC_LBS10784,B,4,R,A,0,A. pulley,1.2610570192337036,0.8965619234368205,2.625842674500367,ok,0.6040532292963275,0.990714162925656,1.2509315058037087,"[0.5,1.0,0.1]",27,0
1B,18,Mercury_SC_LBS10784,B,4,E,A,0,A.,1.12700355052948,1.2396943966547649,2.5105219404189496,ok,-0.106415955710342,-0.09581910312866561,1.2516414368594135,"[1.0,1.0,0.5]",27,0
1B,19,Mercury_7033548,D,4,G,A,0,A. erode.,1.2976903915405273,0.9345332857221365,1.4666283446302786,n/a,,,,,,
1B,19,Mercury_7033548,D,4,R,A,0,A. erode.,1.318306565284729,0.8524855490773916,1.7093123158831849,ok,0.4419140369267525,0.963762330663274,1.2015468389899642,"[0.1,1.0,0.1]",27,0
1B,19,Mercury_7033548,D,4,E,A,0,A. erode.,0.9505067467689514,0.9490616176277399,1.4666283446302786,ok,-0.10271014260688396,-0.08081314735020813,1.2080544652762237,"[1.0,1.0,1.0]",27,0
1B,20,Mercury_7146195,D,4,G,A,0,A.,1.7684152126312256,1.0750536719957988,1.6616980027194843,n/a,,,,,,
1B,20,Mercury_7146195,D,4,R,E,0,The correct answer is D,1.647162675857544,0.9793065130710602,2.2341288939592268,ok,0.578064941445178,0.9310655479732532,1.6192415864379317,"[0.5,0.1,0.5]",27,0
1B,20,Mercury_7146195,D,4,E,A,0,A. Primary Succession,1.5297033786773682,0.681078627309762,1.5471805877913543,ok,-0.13729108124687311,-0.13005709319095962,1.6147879803622212,"[1.0,1.0,1.0]",27,0
1B,21,NCEOGA_2013_8_36,D,4,G,A,0,A. water,1.3415905237197876,1.2007411569356918,1.7016375976506586,n/a,,,,,,
1B,21,NCEOGA_2013_8_36,D,4,R,A,0,A,1.0965396165847778,1.0259965062141418,8.711060565579833,ok,0.5681044694526096,0.9854648290539695,1.2441821804753057,"[0.5,1.0,1.0]",27,0
1B,21,NCEOGA_2013_8_36,D,4,E,A,0,A,1.0349427461624146,0.9886779487133026,8.711060565579833,ok,-0.10298481825369761,-0.08775050668389502,1.2112851407792833,"[1.0,1.0,1.0]",27,0
1B,22,Mercury_SC_415412,D,4,G,A,0,A.,1.275122880935669,1.3949073553085327,1.6321137638222996,n/a,,,,,,
1B,22,Mercury_SC_415412,D,4,R,A,0,A.,1.0674532651901245,1.886966586112976,1.6321137638222996,ok,0.5161403658442734,0.9833219175181837,1.1238469945059881,"[0.1,1.0,1.0]",27,0
1B,22,Mercury_SC_415412,D,4,E,A,0,A.,0.9741976857185364,1.569381336371104,1.6321137638222996,ok,-0.09698347537437607,-0.0828273774929248,1.1406986448499892,"[1.0,1.0,1.0]",27,0
1B,23,Mercury_7126840,C,4,G,A,0,A. gravity,1.3535486459732056,1.0926860719919205,1.6172466732367974,n/a,,,,,,
1B,23,Mercury_7126840,C,4,R,A,0,A. gravity,1.121108055114746,1.086973875761032,1.6172466732367974,ok,0.45633866590800887,0.9314085603391108,1.0580452194920293,"[0.5,0.5,0.1]",27,0
1B,23,Mercury_7126840,C,4,E,A,0,A. gravity,0.906840443611145,1.14263916015625,1.6172466732367974,ok,-0.08945830069313417,-0.0771005893874939,1.05218916910666,"[1.0,1.0,1.0]",27,0
1B,24,Mercury_SC_408362,B,4,G,B,1,B,1.4695626497268677,1.1299192309379578,2.4748085433920424,n/a,,,,,,
1B,24,Mercury_SC_408362,B,4,R,D,0,D. magnifying glass,1.5615923404693604,0.7039342013886198,1.763833706464328,ok,0.5733927034017262,0.9416547252954832,1.5552214913898044,"[0.1,0.5,0.5]",27,0
1B,24,Mercury_SC_408362,B,4,E,A,0,A. binoculars,1.5116026401519775,0.8340241975383833,2.269900439109787,ok,-0.13279611191511495,-0.1285181481444648,1.5619191240381312,"[1.0,1.0,0.5]",27,0
1B,25,MDSA_2008_8_35,C,4,G,A,0,A.,1.2010172605514526,0.9590138991673788,1.399468131676214,n/a,,,,,,
1B,25,MDSA_2008_8_35,C,4,R,A,0,A. developing a hypothesis,1.4702961444854736,0.7818772584199906,1.5200996340914708,ok,0.5514688299169761,0.987797884691947,1.2854692582730893,"[0.1,0.1,0.1]",27,0
1B,25,MDSA_2008_8_35,C,4,E,A,0,A.,1.090833067893982,1.1003379027048747,1.399468131676214,ok,-0.10938945927134028,-0.09274384821555011,1.2866151421158403,"[1.0,1.0,1.0]",27,0
1B,26,NYSEDREGENTS_2015_8_21,B,4,G,A,0,A) 1.,2.4194860458374023,1.583003044128418,2.368749818605797,n/a,,,,,,
1B,26,NYSEDREGENTS_2015_8_21,B,4,R,E,0,The correct answer is:,2.4747276306152344,0.9968262329697609,2.9167379465639574,ok,0.5802443332676529,0.9856489858505022,2.4260935959992587,"[0.5,0.1,0.5]",27,0
1B,26,NYSEDREGENTS_2015_8_21,B,4,E,A,0,A. 1/,2.3339266777038574,1.9448646306991577,3.4793263615155783,ok,-0.20555149652550372,-0.1983499485849097,2.417652209599813,"[0.5,1.0,1.0]",27,0
1B,27,VASoL_2008_5_12,B,4,G,B,1,B. dormant,1.1150697469711304,0.6262440755963326,1.3200354544950827,n/a,,,,,,
1B,27,VASoL_2008_5_12,B,4,R,B,1,B. dormant,1.2322134971618652,0.6364794373512268,1.3200354544950827,ok,0.47718781762321316,0.9356104181543906,1.2935542265574138,"[0.5,1.0,0.5]",27,0
1B,27,VASoL_2008_5_12,B,4,E,B,1,B. dormant,1.1115731000900269,0.7391661033034325,1.3200354544950827,ok,-0.10940135999891148,-0.09450718896363472,1.2867551158975672,"[1.0,1.0,1.0]",27,0
1B,28,Mercury_SC_LBS10680,A,4,G,A,1,A.,0.8644700050354004,0.92409614721934,1.437036766962249,n/a,,,,,,
1B,28,Mercury_SC_LBS10680,A,4,R,A,1,A,0.6305822134017944,0.8109397292137146,6.831988643959908,ok,0.5296405248501954,0.9145321224560777,0.5619912500734683,"[0.5,0.1,0.1]",27,0
1B,28,Mercury_SC_LBS10680,A,4,E,A,1,A,0.48772087693214417,0.738272562623024,6.831988643959908,ok,-0.04498930191046045,-0.04146657477947485,0.529154430936884,"[1.0,0.5,1.0]",27,0
1B,29,MCAS_2003_5_3,B,4,G,A,0,A. sunlight,1.1301140785217285,1.0751467794179916,1.581981655453703,n/a,,,,,,
1B,29,MCAS_2003_5_3,B,4,R,A,0,A. sunlight,0.9908849596977234,1.0031062364578247,1.581981655453703,ok,0.5052030241968525,0.8271524951174416,0.963667059386218,"[0.1,0.1,1.0]",27,0
1B,29,MCAS_2003_5_3,B,4,E,A,0,A.,0.8517065048217773,1.1673954725265503,1.9197698866360258,ok,-0.08130448264384858,-0.07241342535129167,0.9562857261410466,"[1.0,1.0,1.0]",27,0
1B,30,VASoL_2010_5_18,A,4,G,A,1,A.,1.3193202018737793,1.2472782929738362,1.7568303927946767,n/a,,,,,,
1B,30,VASoL_2010_5_18,A,4,R,A,1,A,1.3105173110961914,1.2378249764442444,4.176759542282151,ok,0.5203700485964745,0.9482410429513833,1.2249540973592687,"[0.1,0.5,0.1]",27,0
1B,30,VASoL_2010_5_18,A,4,E,A,1,A,1.0610992908477783,1.2246208786964417,4.176759542282151,ok,-0.10329683481224762,-0.08986226888787631,1.2149550120035808,"[0.5,1.0,1.0]",27,0
1B,31,Mercury_7074900,C,4,G,A,0,A.,1.285934329032898,1.1503468751907349,1.502364109422844,n/a,,,,,,
1B,31,Mercury_7074900,C,4,R,A,0,A,1.2483633756637573,1.3063132166862488,4.652949295031829,ok,0.4879558500398406,0.9517968565520181,1.2419927385118272,"[1.0,0.1,0.5]",27,0
1B,31,Mercury_7074900,C,4,E,A,0,A.,1.1323264837265015,1.2368696530659993,1.502364109422844,ok,-0.10595989541498538,-0.09615623385233234,1.2462773543817025,"[0.5,1.0,1.0]",27,0
1B,32,Mercury_SC_408762,A,4,G,A,1,A. carbon dioxide,1.268596887588501,0.7617405772209167,1.2717498340247695,n/a,,,,,,
1B,32,Mercury_SC_408762,A,4,R,A,1,A. carbon dioxide,0.8892716765403748,0.8038668692111969,1.2717498340247695,ok,0.5158777423412007,0.9436820968504006,0.9825831629611828,"[0.5,1.0,0.5]",27,0
1B,32,Mercury_SC_408762,A,4,E,A,1,A. carbon dioxide,0.8205561637878418,0.7896587252616882,1.2717498340247695,ok,-0.08185739105492412,-0.06976460335365446,0.9627889151926394,"[1.0,1.0,0.5]",27,0
1B,33,ACTAAP_2015_5_8,A,4,G,A,1,A.,1.6572908163070679,0.9612647692362467,1.4798963441506738,n/a,,,,,,
1B,33,ACTAAP_2015_5_8,A,4,R,E,0,The correct answer is D,1.634840488433838,0.9030671775341034,2.1514066095150635,ok,0.5259434901580415,0.9952118390061793,1.6716555577737313,"[0.5,0.5,1.0]",27,0
1B,33,ACTAAP_2015_5_8,A,4,E,A,1,A.,1.6027729511260986,1.2616047461827595,1.4798963441506738,ok,-0.14165159183938966,-0.13626955001484722,1.6660753620995417,"[1.0,1.0,1.0]",27,0
1B,34,Mercury_7263008,C,4,G,A,0,A.,1.573252558708191,1.0855834484100342,1.4958815934954661,n/a,,,,,,
1B,34,Mercury_7263008,C,4,R,E,0,The correct answer is D,1.5168285369873047,0.9034189023077488,1.867211704614569,ok,0.5949627374633836,0.9953753347643606,1.507233526971605,"[1.0,0.1,0.5]",27,0
1B,34,Mercury_7263008,C,4,E,E,0,The correct answer is D,1.4250478744506836,0.8924556627869606,1.867211704614569,ok,-0.1293559026077557,-0.12115916509856993,1.5214561268135354,"[0.1,0.1,0.1]",27,0
1B,35,MCAS_2000_4_29,A,4,G,A,1,A. fair.,1.359895944595337,0.6873449007049203,1.2634019392486493,n/a,,,,,,
1B,35,MCAS_2000_4_29,A,4,R,A,1,A,1.3172905445098877,1.1242141723632812,9.880747240087649,ok,0.5860222131911369,0.9790395075457224,1.1954436832004123,"[0.1,0.1,0.5]",27,0
1B,35,MCAS_2000_4_29,A,4,E,A,1,A. fair.,1.0664530992507935,0.7367697156965732,1.2634019392486493,ok,-0.10389817084730926,-0.09098145005103585,1.2220277962861237,"[1.0,0.5,1.0]",27,0
1B,36,CSZ_2008_5_CSZ10233,D,4,G,A,0,A. B,1.5787734985351562,1.0838687866926193,1.5337217973692707,n/a,,,,,,
1B,36,CSZ_2008_5_CSZ10233,D,4,R,A,0,A. B,1.4193657636642456,1.5321827679872513,1.5337217973692707,ok,0.4943210532763473,0.9933559476208552,1.38968026638031,"[0.1,1.0,0.1]",27,0
1B,36,CSZ_2008_5_CSZ10233,D,4,E,A,0,A. B,1.3449169397354126,1.7129920721054077,1.5337217973692707,ok,-0.11839213050838238,-0.11434634335220394,1.392502612537808,"[1.0,0.5,1.0]",27,0
1B,37,Mercury_7128660,C,4,G,A,0,A. remove the old,1.3311952352523804,0.5403550432994961,1.2914022556265357,n/a,,,,,,
1B,37,Mercury_7128660,C,4,R,A,0,A. remove the old,1.2686761617660522,0.5868523940443993,1.2914022556265357,ok,0.4995494950148544,0.9892399865316419,1.2686156255227548,"[1.0,0.5,0.1]",27,0
1B,37,Mercury_7128660,C,4,E,A,0,A. remove the old,1.1847680807113647,0.5908536659553647,1.2914022556265357,ok,-0.10785941039690206,-0.10073030813070534,1.2686190384405631,"[1.0,1.0,1.0]",27,0
1B,38,Mercury_7100520,C,4,G,A,0,A.,1.247930884361267,1.096260666847229,1.4852063782912546,n/a,,,,,,
1B,38,Mercury_7100520,C,4,R,A,0,A,1.1045689582824707,1.0934041738510132,3.5555667865193974,ok,0.4908035398629711,0.9232301841627203,1.1493335520779644,"[1.0,0.1,0.5]",27,0
1B,38,Mercury_7100520,C,4,E,A,0,A,1.0413395166397095,1.0388951897621155,3.5555667865193974,ok,-0.09580330331087328,-0.08853585109823048,1.126817716492547,"[0.1,1.0,1.0]",27,0
1B,39,Mercury_7017728,B,4,G,A,0,A. B,1.0226051807403564,1.0456091091036797,1.5493032642392686,n/a,,,,,,
1B,39,Mercury_7017728,B,4,R,A,0,A. distance between the,0.91585773229599,0.8953698098659515,2.5144132926093934,ok,0.42268969412300744,0.9514277699159317,0.8894500467512343,"[0.1,0.5,1.0]",27,0
1B,39,Mercury_7017728,B,4,E,A,0,A. distance between the,0.5998768210411072,0.9261582285165787,2.5144132926093934,ok,-0.0723679221388169,-0.05100219866461759,0.8511758358390243,"[1.0,1.0,1.0]",27,0
1B,40,Mercury_7032865,A,4,G,A,1,A.,0.9759669303894043,1.1029937267303467,1.5954890469453675,n/a,,,,,,
1B,40,Mercury_7032865,A,4,R,A,1,A,0.7841319441795349,0.8694010376930237,2.019681314489893,ok,0.573756755897771,0.9896968018238254,0.8489805548279373,"[1.0,0.1,1.0]",27,0
1B,40,Mercury_7032865,A,4,E,A,1,A,0.7504423260688782,0.8540224134922028,2.019681314489893,ok,-0.07162944132041259,-0.06380344640434087,0.8424899843004015,"[1.0,1.0,0.5]",27,0
1B,41,Mercury_405057,B,4,G,B,1,B,1.3282431364059448,0.840138852596283,1.5549108486148184,n/a,,,,,,
1B,41,Mercury_405057,B,4,R,A,0,A,1.3958381414413452,1.1806475818157196,5.309687353425547,ok,0.4914596026318999,0.9237940414074917,1.4023509158028498,"[1.0,0.5,0.1]",27,0
1B,41,Mercury_405057,B,4,E,A,0,A,1.3221931457519531,1.1304887235164642,5.309687353425547,ok,-0.11834104443085376,-0.11241434095686748,1.3919017491517243,"[0.5,1.0,1.0]",27,0
1B,42,Mercury_7057593,A,4,G,A,1,A. winter,1.3086578845977783,0.8423328846693039,1.3302667278663556,n/a,,,,,,
1B,42,Mercury_7057593,A,4,R,A,1,A. winter,1.2423839569091797,0.7461566552519798,1.3302667278663556,ok,0.4024639220897015,0.8818564296139733,1.0753200451533,"[0.1,0.1,0.1]",27,0
1B,42,Mercury_7057593,A,4,E,A,1,A. winter,0.9739106893539429,0.7187658548355103,1.3302667278663556,ok,-0.09270398455077321,-0.08280297674082104,1.0903642000975433,"[1.0,1.0,1.0]",27,0
1B,43,Mercury_SC_405231,C,4,G,A,0,A.,1.5225616693496704,1.1871604522069295,1.557282641218222,n/a,,,,,,
1B,43,Mercury_SC_405231,C,4,R,A,0,A.,1.6788303852081299,1.5386195580164592,1.557282641218222,ok,0.6050876281667973,0.9921119657198183,1.6148259065769337,"[0.1,0.1,0.5]",27,0
1B,43,Mercury_SC_405231,C,4,E,A,0,A.,1.4981205463409424,1.5358023643493652,1.557282641218222,ok,-0.13512351141373113,-0.12737188544044492,1.5892934931649103,"[1.0,1.0,1.0]",27,0
1B,44,VASoL_2007_5_38,A,4,G,A,1,A. observing if they,1.1307965517044067,0.5276815310120583,1.1533521882832996,n/a,,,,,,
1B,44,VASoL_2007_5_38,A,4,R,A,1,A. observing if they,0.9287257790565491,0.7013424694538116,1.1533521882832996,ok,0.46679413438029116,0.9835252144029212,1.1348986625671387,"[1.0,0.5,1.0]",27,0
1B,44,VASoL_2007_5_38,A,4,E,A,1,A. observing if they,0.8185345530509949,0.7312548980116844,1.1533521882832996,ok,-0.09565211286864875,-0.06959272374636401,1.125039447236944,"[1.0,1.0,1.0]",27,0
1B,45,Mercury_SC_410895,D,4,G,A,0,A.,1.4333513975143433,1.476800521214803,1.8207652017723075,n/a,,,,,,
1B,45,Mercury_SC_410895,D,4,R,A,0,A.,1.3368374109268188,1.540754755338033,1.8207652017723075,ok,0.36852379588004536,0.9832560228158991,1.5101817934601396,"[1.0,1.0,0.5]",27,0
1B,45,Mercury_SC_410895,D,4,E,A,0,A.,1.2634446620941162,1.3715355396270752,1.8207652017723075,ok,-0.12703706781911214,-0.10741947912913116,1.4941824939515855,"[1.0,1.0,1.0]",27,0
1B,46,Mercury_7015978,D,4,G,A,0,A. The mass of,1.4379774332046509,0.7915922090411186,1.3340600090767865,n/a,,,,,,
1B,46,Mercury_7015978,D,4,R,A,0,A. The mass of,1.5252500772476196,0.7854178547859192,1.3340600090767865,ok,0.4445996756195208,0.9795131337443672,1.5245966602254797,"[0.5,1.0,0.1]",27,0
1B,46,Mercury_7015978,D,4,E,A,0,A. The mass of,1.4567984342575073,0.8629615604877472,1.3340600090767865,ok,-0.12926196858054997,-0.12385863322632658,1.5203512951179787,"[0.5,1.0,1.0]",27,0
1B,47,ACTAAP_2010_5_5,C,4,G,A,0,A.,1.3503296375274658,0.8859783411026001,1.3191880563873615,n/a,,,,,,
1B,47,ACTAAP_2010_5_5,C,4,R,A,0,A. Measuring oxygen,1.5125494003295898,0.8683045755606145,2.3417854993375196,ok,0.4771117461375378,0.9869269322496379,1.3831329080793593,"[0.1,0.1,0.5]",27,0
1B,47,ACTAAP_2010_5_5,C,4,E,A,0,A.,1.1820869445800781,1.4269406000773113,1.3191880563873615,ok,-0.11503901614815376,-0.10055912279195865,1.3530640072292752,"[1.0,1.0,1.0]",27,0
1B,48,Mercury_7080955,D,4,G,A,0,A.,1.5166312456130981,1.0178810954093933,1.5989286799981142,n/a,,,,,,
1B,48,Mercury_7080955,D,4,R,A,0,A,1.623539924621582,1.4377415776252747,6.884761976209984,ok,0.5160513947850609,0.9235859446069823,1.634438845846388,"[0.1,1.0,0.5]",27,0
